Time/BA(s)	RefinedPose	ConstPose	IgnoredPose	RefinedPts	ConstPts	IgnoredPts	RefinedK	ConstK	IgnoredK	ResidualBlocks	SuccessIter	BadIter	InitRMSE	FinalRMSE	dAR=-1	dAR=0	dAR=1	dAR=2	dAR=3	dAR=4	dAR=5	dAR=6	dAR=7	dAR=8	dAR=9	dAR=10+	New Views	
0.129446	28	0	0	4001	0	0	1	0	0	29514	5	0	0.778511	0.74431	0	0	0	0	0	0	0	0	0	0	0	0	365855260	
0.131817	29	0	0	4064	0	0	1	0	0	30154	5	0	0.788063	0.755909	0	0	0	0	0	0	0	0	0	0	0	0	988082744	
0.0968795	29	0	0	4058	0	0	1	0	0	30044	4	0	0.741999	0.738754	0	0	0	0	0	0	0	0	0	0	0	0	988082744	
0.136063	30	0	0	4153	0	0	1	0	0	30942	5	0	0.778901	0.75585	0	0	0	0	0	0	0	0	0	0	0	0	333687381	
0.181448	33	0	0	4330	0	0	1	0	0	33214	6	0	0.845593	0.788997	0	0	0	0	0	0	0	0	0	0	0	0	1010673316	1574326558	1979133402	
0.149281	33	0	0	4327	0	0	1	0	0	32942	5	0	0.758045	0.749764	0	0	0	0	0	0	0	0	0	0	0	0	1010673316	1574326558	1979133402	
0.173514	35	0	0	4454	0	0	1	0	0	34458	6	0	0.815486	0.78084	0	0	0	0	0	0	0	0	0	0	0	0	161231762	1135611940	
0.144968	35	0	0	4450	0	0	1	0	0	34242	4	0	0.757482	0.75142	0	0	0	0	0	0	0	0	0	0	0	0	161231762	1135611940	
0.201043	36	0	0	4611	0	0	1	0	0	35072	6	0	0.779813	0.763385	0	0	0	0	0	0	0	0	0	0	0	0	147254205	
0.189599	37	0	0	4647	0	0	1	0	0	35558	6	0	0.801093	0.77309	0	0	0	0	0	0	0	0	0	0	0	0	1111497595	
0.17923	37	0	0	4645	0	0	1	0	0	35406	5	0	0.757579	0.753291	0	0	0	0	0	0	0	0	0	0	0	0	1111497595	
